quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,185389,0,1
False,False,False,False,False,185474,1,0
False,False,False,False,False,185511,0,1
False,False,False,False,False,185728,1,0
False,False,False,False,False,185849,0,1
False,False,False,False,False,185906,0,1
False,False,False,False,False,186479,0,1
False,False,False,False,False,186810,0,1
False,False,False,False,False,186902,0,1
False,False,False,False,False,187787,1,0
False,False,False,False,False,188039,1,0
False,False,False,False,False,188853,0,1
False,False,False,False,False,188991,0,1
False,False,False,False,False,189104,0,1
False,False,False,False,False,189647,1,0
False,False,False,False,False,190131,0,1
False,False,False,False,False,190145,1,0
False,False,False,False,False,190416,0,1
False,False,False,False,False,190447,1,0
False,False,False,False,False,190741,1,0
False,False,False,False,False,190863,0,1
False,False,False,False,False,191180,0,1
False,False,False,False,False,191397,0,1
False,False,False,False,False,191780,0,1
False,False,False,False,False,192326,0,1
False,False,False,False,False,192718,0,1
False,False,False,False,False,192860,0,1
False,False,False,False,False,192967,1,0
False,False,False,False,False,193221,1,0
False,False,False,False,False,193252,0,1
False,False,False,False,False,193514,1,0
False,False,False,False,False,194811,0,1
False,False,False,False,False,195143,0,1
False,False,False,False,False,195411,0,1
False,False,False,False,False,195629,0,1
False,False,False,False,False,195724,0,1
False,False,False,False,False,195738,1,0
False,False,False,False,False,196019,1,0
False,False,False,False,False,196256,0,1
False,False,False,False,False,197010,1,0
False,False,False,False,False,197174,0,1
False,False,False,False,False,197200,0,1
False,False,False,False,False,197299,1,0
False,False,False,False,False,197331,0,1
False,False,False,False,False,197806,0,1
False,False,False,False,False,198276,0,1
False,False,False,False,False,198356,0,1
False,False,False,False,False,198820,1,0
False,False,False,False,False,199023,0,1
False,False,False,False,False,199542,1,0
False,False,False,False,False,199899,0,1
False,False,False,False,False,200289,0,1
False,False,False,False,False,200528,0,1
False,False,False,False,False,200536,1,0
False,False,False,False,False,200957,0,1
